days,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PERU,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,cada cuatro dias,cada dia,cada dos dias,cada semana,cada tres dias
0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0
1,10.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,10.0,1.0,3.0,6.0,10.0,1.0,1.0,1.0,6.0,2.0,1.0,,1.0,3.0,14.0,1.189207115002721,2.0,1.4142135623730951,1.1040895136738123,1.2599210498948732
2,16.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,10.0,1.0,6.0,7.0,11.0,1.0,1.0,1.0,7.0,2.0,1.0,,2.0,3.0,15.0,1.414213562373095,4.0,2.0000000000000004,1.2190136542044752,1.5874010519681996
3,22.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,10.0,2.0,6.0,9.0,12.0,1.0,3.0,1.0,9.0,2.0,1.0,,3.0,5.0,17.0,1.681792830507429,8.0,2.8284271247461907,1.3459001926323557,2.0
4,19.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,10.0,2.0,6.0,11.0,14.0,1.0,3.0,1.0,11.0,2.0,1.0,1.0,3.0,6.0,32.0,1.9999999999999998,16.0,4.000000000000001,1.485994289136948,2.5198420997897464
5,25.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,11.0,2.0,6.0,17.0,16.0,1.0,3.0,1.0,17.0,2.0,2.0,1.0,3.0,8.0,32.0,2.3784142300054416,32.0,5.656854249492382,1.6406707120152753,3.174802103936399
6,25.0,4.0,1.0,3.0,1.0,1.0,6.0,4.0,7.0,2.0,1.0,11.0,5.0,8.0,22.0,16.0,1.0,8.0,1.0,22.0,18.0,2.0,1.0,3.0,8.0,49.0,2.8284271247461894,64.0,8.000000000000004,1.8114473285278125,4.000000000000001
7,25.0,4.0,3.0,3.0,3.0,2.0,6.0,4.0,7.0,2.0,1.0,12.0,5.0,8.0,32.0,16.0,1.0,10.0,1.0,38.0,19.0,2.0,1.0,9.0,10.0,56.0,3.3635856610148576,128.0,11.313708498984766,1.999999999999999,5.039684199579494
8,23.0,4.0,3.0,4.0,5.0,3.0,8.0,4.0,7.0,2.0,1.0,12.0,4.0,8.0,37.0,18.0,1.0,12.0,2.0,43.0,19.0,2.0,1.0,9.0,13.0,73.0,3.999999999999999,256.0,16.000000000000007,2.208179027347623,6.349604207872799
9,46.0,4.0,5.0,7.0,5.0,4.0,8.0,4.0,7.0,4.0,1.0,13.0,5.0,8.0,58.0,18.0,1.0,13.0,3.0,71.0,19.0,2.0,2.0,9.0,15.0,97.0,4.756828460010883,512.0,22.627416997969533,2.438027308408949,8.000000000000002
